"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"603F1B6B90E44589B9DAB81CED4700E2","D10","STER","STER_026","B4","2014-05-21","MAM.STER.2014.06",6,2
"CE14E173459B4A6B93B391380CC89DDE","D10","STER","STER_026","H9","2014-05-21","MAM.STER.2014.06",2,2
"FB0AE39FF19D437488C2DA08662B68EF","D10","STER","STER_026","H9","2014-05-21","MAM.STER.2014.06",2,2
"337CBF36C5B44B268B1C99AD7FD2029A","D10","STER","STER_026","H7","2014-05-21","MAM.STER.2014.06",6,2
"284371DD25B5455EAE61450E30B0EAA4","D10","STER","STER_026","H7","2014-05-21","MAM.STER.2014.06",6,2
"3D4311FE845A4071A497EC69043C7204","D10","STER","STER_026","G10","2014-05-21","MAM.STER.2014.06",5,2
"0ED81AAE10CF470E8C2D93704C7641BA","D10","STER","STER_026","G10","2014-05-21","MAM.STER.2014.06",5,2
"6FFAB38E92AD4FA0A02CF9C1754FA090","D10","STER","STER_026","H8","2014-05-21","MAM.STER.2014.06",6,2
"16B8644D19C04CE880C1FCD821C71201","D10","STER","STER_026","H8","2014-05-21","MAM.STER.2014.06",6,2
"A4C264A527AE4D26908C19648DF05126","D10","STER","STER_026","H5","2014-05-21","MAM.STER.2014.06",2,2
"14D94B3EC89247A4907E2F8EFFBB0BCC","D10","STER","STER_026","H5","2014-05-21","MAM.STER.2014.06",2,2
"77AA2F7D091342EF946BD1F0F982AF8D","D10","STER","STER_026","H6","2014-05-21","MAM.STER.2014.06",2,2
"71E7968250DE4AA38BDB0FDA4C5F44FF","D10","STER","STER_026","H6","2014-05-21","MAM.STER.2014.06",2,2
"176B547D1AA44C74867512A8AFFFC5C0","D10","STER","STER_026","H3","2014-05-21","MAM.STER.2014.06",2,2
"599140AE4C39435EB48B4353D6C4DCA8","D10","STER","STER_026","H3","2014-05-21","MAM.STER.2014.06",2,2
"1CCD7A08E094425483E6BBEFC870C79B","D10","STER","STER_026","H4","2014-05-21","MAM.STER.2014.06",2,2
"70C8B881C7D144BDA7AA54D05A5FE314","D10","STER","STER_026","H4","2014-05-21","MAM.STER.2014.06",2,2
"D79FA23E00574562B2F95CD76C654FEF","D10","STER","STER_026","H1","2014-05-21","MAM.STER.2014.06",2,2
"CF2EE4948BFE43AFA0A9B520CBF26316","D10","STER","STER_026","H1","2014-05-21","MAM.STER.2014.06",2,2
"2550004D4E0B49D58B2A0DB0CCFEE55D","D10","STER","STER_026","H2","2014-05-21","MAM.STER.2014.06",6,2
"C03FE1CBBB6A49A4B5184FEC83534C1A","D10","STER","STER_026","H2","2014-05-21","MAM.STER.2014.06",6,2
"CEA39B8D4F624C73A221E60CD2E8F117","D10","STER","STER_026","I8","2014-05-21","MAM.STER.2014.06",6,2
"659FA1C63228467583A167F82AA9EA4F","D10","STER","STER_026","I8","2014-05-21","MAM.STER.2014.06",2,2
"2FECA17BCA9F4FCA994BC893526A1378","D10","STER","STER_026","I9","2014-05-21","MAM.STER.2014.06",6,2
"D4042436D4004E85B0C4A3D75E0BC0F6","D10","STER","STER_026","I9","2014-05-21","MAM.STER.2014.06",6,2
"AFA0100EEBAB4A6EB3C13DC11B3CB004","D10","STER","STER_026","I4","2014-05-21","MAM.STER.2014.06",6,2
"222FE18B671F4BDD953BF4B2AFEE62A5","D10","STER","STER_026","I4","2014-05-21","MAM.STER.2014.06",6,2
"50E00F68667D40619EBC8A72BFBA4320","D10","STER","STER_026","I5","2014-05-21","MAM.STER.2014.06",6,2
"8485986299CA4EB2A4A05F5E61FDDEA8","D10","STER","STER_026","I5","2014-05-21","MAM.STER.2014.06",6,2
"8DF4CED220604F62830DA5E86CCFE8D5","D10","STER","STER_026","I6","2014-05-21","MAM.STER.2014.06",6,2
"4639411625EA427EB275746803D3E781","D10","STER","STER_026","I6","2014-05-21","MAM.STER.2014.06",6,2
"B4762FFF2B3746A7B7E8CE84795F89B1","D10","STER","STER_026","I7","2014-05-21","MAM.STER.2014.06",6,2
"2BDF77F8DC70461A96AC235FF56C8E2E","D10","STER","STER_026","I7","2014-05-21","MAM.STER.2014.06",6,2
"8EF9F315C96C475A93B260D8F9343C74","D10","STER","STER_026","I1","2014-05-21","MAM.STER.2014.06",6,2
"9D89417EA0DA4F26A1745824D2BA2AF9","D10","STER","STER_026","I1","2014-05-21","MAM.STER.2014.06",6,2
"B82D59B39BC54CFD923A945C8FCDEB12","D10","STER","STER_026","I2","2014-05-21","MAM.STER.2014.06",6,2
"A58BAEF06D2E4F2F998470515D8AC263","D10","STER","STER_026","I2","2014-05-21","MAM.STER.2014.06",6,2
"74EB406418B64DDA9488699AEC52DE16","D10","STER","STER_026","I3","2014-05-21","MAM.STER.2014.06",6,2
"4E3EAE40F03C41BBA0C455FFB194751D","D10","STER","STER_026","I3","2014-05-21","MAM.STER.2014.06",6,2
"51CCA905F21442C09CFB5877B5DC8DD0","D10","STER","STER_026","J9","2014-05-21","MAM.STER.2014.06",6,2
"09B4C943815648C2BDA379AD009C31D2","D10","STER","STER_026","J9","2014-05-21","MAM.STER.2014.06",6,2
"32C8DFA5D6CC45189F21230A267F3283","D10","STER","STER_026","J3","2014-05-21","MAM.STER.2014.06",6,2
"6AA203C23D3447B8A49F71AE35553853","D10","STER","STER_026","J3","2014-05-21","MAM.STER.2014.06",5,2
"20DE5E0F10984E9EAC22669C9F846401","D10","STER","STER_026","J4","2014-05-21","MAM.STER.2014.06",6,2
"0479A9008F8C4857A708981BAB010B7E","D10","STER","STER_026","J4","2014-05-21","MAM.STER.2014.06",6,2
"7B440AD56372483084480B1BAF094F71","D10","STER","STER_026","J1","2014-05-21","MAM.STER.2014.06",6,2
"0B523923A6364233B2B184E288724FF5","D10","STER","STER_026","J1","2014-05-21","MAM.STER.2014.06",6,2
"1CC00603B5E149D6B5C7929989E272EB","D10","STER","STER_026","J2","2014-05-21","MAM.STER.2014.06",6,2
"88F5E5911ED640F8B7FCEA3F70769AEB","D10","STER","STER_026","J2","2014-05-21","MAM.STER.2014.06",6,2
"2673F067A9744AA58475E2F722CEE528","D10","STER","STER_026","J7","2014-05-21","MAM.STER.2014.06",6,2
"70287409962F4F1F80DA59CFAE1D24CC","D10","STER","STER_026","J7","2014-05-21","MAM.STER.2014.06",6,2
"84F12EF796524217BD56047EEFCDC535","D10","STER","STER_026","J8","2014-05-21","MAM.STER.2014.06",6,2
"B1E3D14338CF4021B6C6E12C57E6A966","D10","STER","STER_026","J8","2014-05-21","MAM.STER.2014.06",6,2
"8BD5305D461E40C9BFB37D2C2D28788B","D10","STER","STER_026","J5","2014-05-21","MAM.STER.2014.06",6,2
"C76CD1832DE2421790D7F88408815F69","D10","STER","STER_026","J5","2014-05-21","MAM.STER.2014.06",6,2
"DE0A4AA5565947779693D6A7F29716D2","D10","STER","STER_026","J6","2014-05-21","MAM.STER.2014.06",6,2
"CA916F8B639B467D89D7BEC33FA761CE","D10","STER","STER_026","J6","2014-05-21","MAM.STER.2014.06",6,2
"16BACA0CD4044507B6F316C87E1CFDA8","D10","STER","STER_026","D2","2014-05-21","MAM.STER.2014.06",2,2
"F14FFDB60E144BF79FEAFEE7C6481B8B","D10","STER","STER_026","D2","2014-05-21","MAM.STER.2014.06",2,2
