"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"FF80A974B27D4A12ADC198CEFB55D53E","D10","CPER","CPER_009","J2","2013-07-06","MAM.CPER.2013.07",6,0
"99EA40C6004A44A09D682F6108DF309F","D10","CPER","CPER_009","H2","2013-07-06","MAM.CPER.2013.07",6,0
"D5E2C2483F0043EB88C466AC7DBDE347","D10","CPER","CPER_009","H9","2013-07-06","MAM.CPER.2013.07",6,0
"F738981B467144BF95870CD9C5A51A70","D10","CPER","CPER_009","H8","2013-07-06","MAM.CPER.2013.07",2,0
"C9EF1F3481E24311924C8E64838BA479","D10","CPER","CPER_009","H7","2013-07-06","MAM.CPER.2013.07",6,0
"95B89A5343DF478E8A5C6D706C10612B","D10","CPER","CPER_009","H6","2013-07-06","MAM.CPER.2013.07",2,0
"BC43C4E849674F6C855CA0386BC39264","D10","CPER","CPER_009","I1","2013-07-06","MAM.CPER.2013.07",6,0
"804F11E781B249088894489B2A29D969","D10","CPER","CPER_002","B2","2013-07-06","MAM.CPER.2013.07",6,0
"D0B52C428724423BA82124B84AFCD0D9","D10","CPER","CPER_002","B1","2013-07-06","MAM.CPER.2013.07",6,0
"C96D4D453B684E5EBC43A7B80155255A","D10","CPER","CPER_009","I2","2013-07-06","MAM.CPER.2013.07",6,0
"FDDF511060E34CD2BD6E7C21135458EA","D10","CPER","CPER_009","E4","2013-07-06","MAM.CPER.2013.07",6,0
"79E9F565666E4CFC8954BAD9E5DF3350","D10","CPER","CPER_009","E3","2013-07-06","MAM.CPER.2013.07",6,0
"2916B0C6C64844088EC54518725B3BF1","D10","CPER","CPER_009","E6","2013-07-06","MAM.CPER.2013.07",6,0
"57CCEE20E97847048CBC8830515CE8F6","D10","CPER","CPER_009","E5","2013-07-06","MAM.CPER.2013.07",6,0
"20B7F402E12E44CDA6CC48043B3CBD50","D10","CPER","CPER_009","E2","2013-07-06","MAM.CPER.2013.07",6,0
"29936BE45CEF4126B05931E308631368","D10","CPER","CPER_009","E1","2013-07-06","MAM.CPER.2013.07",6,0
"F3A39DD31BD34A599D7F284DE102F5F4","D10","CPER","CPER_002","A1","2013-07-06","MAM.CPER.2013.07",6,0
"865693454A5645BA95A25A054A093634","D10","CPER","CPER_009","E8","2013-07-06","MAM.CPER.2013.07",6,0
"DF0B3304A3FB49FE9CEC98ADDA97B388","D10","CPER","CPER_009","E7","2013-07-06","MAM.CPER.2013.07",2,0
"03D820E30017420AB34F02B0708DDA9F","D10","CPER","CPER_008","E9","2013-07-06","MAM.CPER.2013.07",6,0
"41F55C7B329844EFBC23D1F45C8F36EC","D10","CPER","CPER_008","H10","2013-07-06","MAM.CPER.2013.07",6,0
"5D80CDA5A60E4A6896D62AC193980B9B","D10","CPER","CPER_008","D3","2013-07-06","MAM.CPER.2013.07",6,0
