"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"39962578EBA04DD383F51F7BF8A775C0","D10","CPER","CPER_008","D7","grasslandHerbaceous",40.798601,-104.74761,"WGS84",,1637.850145,,"2014-04-28","MAM.CPER.2014.05","NEON.MAM.D10.415468","PEFL","Perognathus flavus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",14,5,55,105,8,,,,,,"CPER.20140428.415468.H","CPER.20140428.415468.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","small wound under left arm",0,0,0,-1,0
"38317D361EAD4FE6B910123AA3445C04","D10","CPER","CPER_002","B9","grasslandHerbaceous",40.8101,-104.731224,"WGS84",,1650.947207,,"2014-04-28","MAM.CPER.2014.05","NEON.MAM.D10.415425","PEFL","Perognathus flavus","species",," ","F","N","N",,,,,,"not",,,,,,9,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","Age and some measurement data missed in field
",0,0,-1,-1,-1
"9365397C79044CCDA60E12552850C2CC","D10","CPER","CPER_002","B9","grasslandHerbaceous",40.8101,-104.731224,"WGS84",,1650.947207,,"2014-04-28","MAM.CPER.2014.05","NEON.MAM.D10.415425","PEFL","Perognathus flavus","species",," ","F","N","N",,,,,,"not",,,,,,9,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","Age and some measurement data missed in field",0,0,-1,-1,-1
"580B432A6F2348CAA91859885827A45E","D10","CPER","CPER_008","A7","grasslandHerbaceous",40.798602,-104.747966,"WGS84",,1637.606033,,"2014-04-28","MAM.CPER.2014.05","NEON.MAM.D10.0L0966","PEFL","Perognathus flavus","species",," ","M","R","N","dead",,"adult","scrotal",,,,15,8,50,110,8,,,"CPER.20140428.L0966.F","old","CPER.20140428.L0966.E","CPER.20140428.L0966.H","CPER.20140428.L0966.H","CPER.20140428.L0966.V","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","large wound, animal terminated and collected. Tag added post mortem for samples",0,0,0,-1,0
"4C4C0EB64E474208B9B53877CCBF7C4A","D10","CPER","CPER_002","F10","grasslandHerbaceous",40.810009,-104.73075,"WGS84",,1651.056803,,"2014-05-02","MAM.CPER.2014.05","NEON.MAM.D10.415462","PEFL","Perognathus flavus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",16,5,55,100,9,,,"CPER.20140502.415462.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"B1B60695140147AD96012254F0354DCD","D10","CPER","CPER_002","I1","grasslandHerbaceous",40.810818,-104.730391,"WGS84",,1651.70494,,"2014-05-02","MAM.CPER.2014.05","NEON.MAM.D10.415466","PEFL","Perognathus flavus","species",," ","M","R","N",,,"adult","scrotal",,,,16,4,,,7,,,"CPER.20140502.415466.F","old","CPER.20140502.415466.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"184DDC171447491B8BEA73187CD1D3D8","D10","CPER","CPER_008","B6","grasslandHerbaceous",40.798692,-104.747847,"WGS84",,1637.735837,,"2014-05-02","MAM.CPER.2014.05","NEON.MAM.D10.415468","PEFL","Perognathus flavus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",15,5,52,110,9,,,"CPER.20140502.415468.F","old","CPER.20140502.415468.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"A458F654DF6B4D39B21272821CAE9B46","D10","CPER","CPER_008","G8","grasslandHerbaceous",40.798511,-104.747255,"WGS84",,1638.045242,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415511","PEFL","Perognathus flavus","species",," ","M","R","N",,,"adult","scrotal",,,,16,5,52,110,9,,,"CPER.20140503.415511.F","fresh","CPER.20140503.415511.E","CPER.20140503.415511.H",,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"5137EBB41C8341DD9C6D53FA8F1A8D31","D10","CPER","CPER_002","J4","grasslandHerbaceous",40.810548,-104.730273,"WGS84",,1651.572902,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415466","PEFL","Perognathus flavus","species",," ","M","R","Y",,,"adult","scrotal",,,,16,4,,,8,,,"CPER.20140503.415466.F","fresh",,,"CPER.20140503.415466.H","CPER.20140503.415466.V","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"51856F54EEB64B0484FC02EE46AFA8A7","D10","CPER","CPER_006","F9","grasslandHerbaceous",40.813221,-104.748634,"WGS84",,1639.641518,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415443","PEFL","Perognathus flavus","species",," ","M","R","N",,,"adult","scrotal",,,,15,7,45,90,8,,,"CPER.20140503.415443.F","fresh","CPER.20140503.415443.E","CPER.20140503.415443.H","CPER.20140503.415443.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"A119DCC7036A438BA24E5977AC445EF2","D10","CPER","CPER_002","E10","grasslandHerbaceous",40.810009,-104.730868,"WGS84",,1651.015636,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415425","PEFL","Perognathus flavus","species",," ","F","N","Y",,,,,,"not",,16,,,,10,,,"CPER.20140503.415425.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","pit tags in cheek pouch (2)",0,0,-1,-1,-1
"DEC2D5A8B6B94F98926C46485916F99C","D10","CPER","CPER_009","F4","grasslandHerbaceous",40.82548,-104.747219,"WGS84",,1649.994495,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.0R0892","PEMA","Peromyscus maniculatus","species",," ","M","N","N",,,"adult","nonscrotal",,,,18,15,61,130,18,,,"CPER.20140503.R0892.F","fresh","CPER.20140503.R0892.E",,"CPER.20140503.R0892.H","CPER.20140503.R0892.V","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV","Ear tag in backwards",0,0,0,-1,0
"47C40AA6B0594CEDBA81A5DB20A17B93","D10","CPER","CPER_008","C5","grasslandHerbaceous",40.798782,-104.747728,"WGS84",,1637.865839,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415468","PEFL","Perognathus flavus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",15,5,52,110,9,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","Pit tag has migrated to cheek",0,0,0,-1,0
"9AEC70D1F8454D0B8354AF76FD7D18D1","D10","CPER","CPER_008","A7","grasslandHerbaceous",40.798602,-104.747966,"WGS84",,1637.606033,,"2014-05-03","MAM.CPER.2014.05","NEON.MAM.D10.415445","PEFL","Perognathus flavus","species",," ","M","N","N",,,"adult","nonscrotal",,,,14,5,50,103,8,,,"CPER.20140503.415445.F","fresh","CPER.20140503.415445.E","CPER.20140503.415445.H",,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"D0733964DB2E4996889B6785C4C8FAF0","D10","CPER","CPER_015","A9","grasslandHerbaceous",40.852814,-104.743486,"WGS84",,1667.72244,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0L1074","REMO","Reithrodontomys montanus","species","cf. species"," ","F","R","N",,,"adult",,"nonenlarged","not","plugged",13,11,40,98,11,"CPER.20140504.L1074.B","mandibular","CPER.20140504.L1074.F","fresh","CPER.20140504.L1074.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"6E9B617FE5124FD290F13DB2FA5C9424","D10","CPER","CPER_004","I8","grasslandHerbaceous",40.812819,-104.698063,"WGS84",,1617.762348,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R0847","ONLE","Onychomys leucogaster","species",," ","M","N","N",,,"adult","nonscrotal",,,,21,14,36,120,30,,,"CPER.20140504.R0847.F","fresh","CPER.20140504.R0847.E","CPER.20140504.R0847.H","CPER.20140504.R0847.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"062B321E942741B1BFA85A08A326F25D","D10","CPER","CPER_011","D8","grasslandHerbaceous",40.867311,-104.703755,"WGS84",,1663.771139,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R0805","REME","Reithrodontomys megalotis","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","swollen",16,8,55,110,14,"CPER.20140504.R0805.B","mandibular","CPER.20140504.R0805.F","old","CPER.20140504.R0805.E","CPER.20140504.R0805.H","CPER.20140504.R0805.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"5D34370861E84C529B1DEDA1D2241DC6","D10","CPER","CPER_004","A7","grasslandHerbaceous",40.812912,-104.699011,"WGS84",,1618.193264,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R0778","DIOR","Dipodomys ordii","species",," ","M","N","N",,,"adult","nonscrotal",,,,42,9,145,255,65,,,"CPER.20140504.R0778.F","old","CPER.20140504.R0778.E",,,,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,1,0,-1,0
"D500C1C0FAB14F69B472E2FDB2C2CDCB","D10","CPER","CPER_011","A3","grasslandHerbaceous",40.867762,-104.704109,"WGS84",,1664.922293,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.415499","PEFL","Perognathus flavus","species",," ","M","R","Y",,,"adult","scrotal",,,,16,5,53,105,8,,,"CPER.20140504.415499.F","fresh",,"CPER.20140504.415499.H","CPER.20140504.415499.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"4D50DC4FAE7848FBA5AC506B3F28D8E2","D10","CPER","CPER_011","B8","grasslandHerbaceous",40.867311,-104.703992,"WGS84",,1664.286001,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.415454","PEFL","Perognathus flavus","species",," ","M","R","Y",,,"adult","scrotal",,,,16,5,53,108,9,,,"CPER.20140504.415454.F","fresh",,"CPER.20140504.415454.H",,"CPER.20140504.415454.V","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
