#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2020-03-19
# Final Processing Time: 16:13:29
# Spline RMSE gcc_mean: 0.00365
# Spline RMSE gcc_50: 0.00382
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.00359
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,rising,gcc_75,2009-04-29,2009-05-04,2009-05-10,2009-04-27,2009-05-03,2009-05-08,2009-05-01,2009-05-06,2009-05-11,0.37334,0.39062,0.4212,0.36448,0.46912
bartlettir,DB,1000,rising,gcc_75,2010-04-24,2010-04-28,2010-05-03,2010-04-23,2010-04-27,2010-05-01,2010-04-26,2010-04-29,2010-05-04,0.37482,0.39312,0.42879,0.36682,0.47488
bartlettir,DB,1000,rising,gcc_75,2011-05-05,2011-05-09,2011-05-13,2011-05-04,2011-05-08,2011-05-12,2011-05-08,2011-05-10,2011-05-14,0.37266,0.38897,0.41853,0.36486,0.47144
bartlettir,DB,1000,rising,gcc_75,2012-04-24,2012-05-02,2012-05-09,2012-04-14,2012-05-01,2012-05-07,2012-04-29,2012-05-04,2012-05-10,0.37461,0.38789,0.42226,0.36378,0.47337
bartlettir,DB,1000,rising,gcc_75,2013-04-30,2013-05-03,2013-05-08,2013-04-28,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.37456,0.38661,0.42256,0.3646,0.47612
bartlettir,DB,1000,rising,gcc_75,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37536,0.39098,0.42777,0.36746,0.48284
bartlettir,DB,1000,rising,gcc_75,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.38002,0.39461,0.4266,0.37005,0.4822
bartlettir,DB,1000,rising,gcc_75,2016-05-08,2016-05-12,2016-05-17,2016-05-07,2016-05-11,2016-05-15,2016-05-10,2016-05-13,2016-05-18,0.37883,0.39664,0.43227,0.37047,0.48377
bartlettir,DB,1000,rising,gcc_50,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-13,0.37197,0.38575,0.41697,0.36456,0.46906
bartlettir,DB,1000,rising,gcc_50,2009-04-29,2009-05-04,2009-05-11,2009-04-24,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-12,0.37088,0.38456,0.41775,0.36134,0.46529
bartlettir,DB,1000,rising,gcc_50,2010-04-24,2010-04-27,2010-05-02,2010-04-22,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-03,0.37356,0.38661,0.41884,0.36352,0.4718
bartlettir,DB,1000,rising,gcc_50,2011-05-06,2011-05-09,2011-05-13,2011-05-05,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-14,0.36928,0.38363,0.41345,0.36155,0.46483
bartlettir,DB,1000,rising,gcc_50,2012-04-17,2012-05-02,2012-05-09,2012-04-14,2012-05-01,2012-05-07,2012-04-28,2012-05-04,2012-05-10,0.36941,0.38323,0.41666,0.35857,0.4699
bartlettir,DB,1000,rising,gcc_50,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-06,2013-05-02,2013-05-05,2013-05-09,0.36965,0.38224,0.41796,0.36041,0.47068
bartlettir,DB,1000,rising,gcc_50,2014-05-09,2014-05-11,2014-05-16,2014-05-08,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37488,0.38635,0.42302,0.36413,0.4792
bartlettir,DB,1000,rising,gcc_50,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-11,0.37712,0.39128,0.42265,0.36776,0.47576
bartlettir,DB,1000,rising,gcc_50,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.37742,0.3919,0.42743,0.36766,0.48111
