ID,tutoriaTitle,
53641e3826d3401abc682d5896010539,Data Activity: Visualize Precipitation Data in R to Better Understand the 2013 Colorado Floods,
f596d3620a6449089341d08bc3375b43,Data Activity: Visualize Palmer Drought Severity Index Data in R to Better Understand the 2013 Colorado Floods,
f578b1b20ef9483183a8c0abbf417440,Data Activity: Visualize Elevation Change using LiDAR in R to Better Understand the 2013 Colorado Floods,
13cf43a9835e40ebbd16c7d3b2dfda79,Data Activity: Visualize Stream Discharge Data in R to Better Understand the 2013 Colorado Floods,
24572ddda7fa41edbba407d040d87ea0,Raster 00: Intro to Raster Data in R,
cdeed1d7546a4a179c0cd83b17a4938c,Raster 01: Plot Raster Data in R,
31a20612d6b54b41b0f63b524b19839d,Raster 02: When Rasters Don't Line Up - Reproject Raster Data in R,
d3f52facdd2e4ed9862a56f28217f5cb,Raster 03: Raster Calculations in R - Subtract One Raster from Another and Extract Pixel Values For Defined Locations,
1c45b4a12e2a47f081c86f167059fad5,Raster 04: Work With Multi-Band Rasters - Image Data in R,
0f5e34fdc92349d4a3e317b83b6e38f6,Raster 05: Raster Time Series Data in R,
6571bb183e98409c971b660784acf93b,Raster 06: Plot Raster Time Series Data in R Using RasterVis and
Levelplot,
6224f9bae89c4f6399274b84968b3bc1,Raster 07: Extract NDVI Summary Values from a Raster Time Series,
04b622c3efab4519a60b861b885dc576,Spatial Data Series Capstone Challenges,
d447575df18a45618504010a416da4ed,Git 01: Intro to Git Version Control,
1d30df8e044b4c9e9098ac47310a0380,Git 02: GitHub.com - Repos & Forks,
79a2980fe531424fb457b9c3ca61db6c,Git 03: Git Clone - Work Locally On Your Computer,
e5c107fbf4a248588d5dbf7fbaffd49f,Git 04: Markdown Files,
ea49cde9b9514a89b3fb232708bbadb5,Git 05: Git Add Changes - Commit,
31383d0105344f06bca692be74798305,Assignment: Version Control with GitHub,
6e908b9477034bc9b4a23b37c16a2455,The Importance of Reproducible Science,
c234390cc4724005b20d9a6048c8a889,Document & Publish Your Workflow: R Markdown & knitr,
d73ad7014305439ba1d1e2bdd574cc1b,Document Code with R Markdown_,
341f22ea46904019a993e1fbc7a70937,Publish Code - From R Markdown to HTML with knitr,
34ba2280e4414d92bfa760507e072233,Pre-Institute Week 3 Assignment,
524a4f424e1f43e1ac3b95a3f769c324,Download the Data (2016),
f7ac2eee32b04c649280251acdc921e0,Download the Data (2017),
43d571dbf6dc4dbb9c8f7bdaaed526a2,Introduction to the National Ecological Observatory Network (NEON),
f98c089c370d441c9af10d1ad9f0f9fd,Install Git, Bash Shell, Python,
147dae35152d46cebc3e1eb62b77bc7d,Install Git, Bash Shell, R & Rstudio,
