"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"2560","DSNY_079",28.080203,-81.411803,18.1,"woodyWetlands"
"2608","DSNY_080",28.062331,-81.402859,18.2,"woodyWetlands"
"2650","DSNY_081",28.074669,-81.411802,18.3,"woodyWetlands"
"2697","DSNY_082",28.08583,-81.42833,17.3,"woodyWetlands"
"2735","DSNY_083",28.048084,-81.393986,17.8,"pastureHay"
"2777","DSNY_084",28.069291,-81.425462,17.2,"pastureHay"
"2800","DSNY_086",28.050098,-81.39943,18.4,"pastureHay"
"2814","GRSM_037",35.653289,-83.579185,670.7,"deciduousForest"
"2841","GRSM_038",35.712781,-83.384445,493.6,"deciduousForest"
"2868","GRSM_039",35.704922,-83.385644,532.4,"deciduousForest"
"2895","GRSM_040",35.653289,-83.514666,670.4,"deciduousForest"
"2922","GRSM_041",35.677641,-83.478839,835.7,"deciduousForest"
"2949","GRSM_042",35.728847,-83.404883,436.2,"deciduousForest"
"2976","GRSM_043",35.665495,-83.592585,630.4,"deciduousForest"
"3003","GRSM_044",35.704279,-83.360424,607.5,"deciduousForest"
"3027","GRSM_045",35.639723,-83.503264,793.9,"deciduousForest"
"3054","GRSM_046",35.671497,-83.566235,622,"deciduousForest"
"3081","GUAN_032",17.970605,-66.829438,80.1,"evergreenForest"
"3143","GUAN_033",17.973618,-66.854909,150.8,"evergreenForest"
"3205","GUAN_034",17.968509,-66.882706,181.6,"evergreenForest"
"3267","GUAN_035",17.975642,-66.867896,207.5,"evergreenForest"
"3329","GUAN_036",17.982274,-66.872022,138.5,"evergreenForest"
"3391","GUAN_037",17.973558,-66.874705,200.2,"evergreenForest"
"3453","GUAN_038",17.953607,-66.835854,20.9,"evergreenForest"
"3515","GUAN_039",17.977346,-66.877707,191.8,"evergreenForest"
"3577","GUAN_040",17.957939,-66.83555,34.2,"evergreenForest"
"3639","GUAN_041",17.962708,-66.841744,51.7,"evergreenForest"
"3701","HARV_073",42.538136,-72.193774,335.8,"deciduousForest"
"3797","HARV_074",42.455738,-72.240799,207.7,"deciduousForest"
"3887","HARV_075",42.425212,-72.217084,171,"deciduousForest"
"3983","HARV_076",42.417662,-72.236178,165.4,"evergreenForest"
"4073","HARV_077",42.456233,-72.22545,255.6,"mixedForest"
"4163","HARV_078",42.441701,-72.23886,286.7,"mixedForest"
