date,numPts,mean,min,max,variance,stdErr,uncertainty
4/1/2014,60,15.06153847,14.96886086,15.15624697,0.002655015,0.006652087,0.016203251
4/1/2014,60,14.99857787,14.93719665,15.04274265,0.001254117,0.004571866,0.01306111
4/1/2014,60,15.26231288,15.03502109,15.56682569,0.041437537,0.026279757,0.053496817
4/1/2014,60,15.4535136,15.3855348,15.53449212,0.001174759,0.004424851,0.012868326
4/1/2014,60,15.35306231,15.23799073,15.42345761,0.003526443,0.007666423,0.01788372
4/1/2014,60,15.12806972,15.05845737,15.23494189,0.00376417,0.007920616,0.018312395
4/1/2014,60,15.19453061,15.09928937,15.275794,0.001367752,0.004774502,0.013347127
4/1/2014,60,15.5056821,15.28457169,15.6528203,0.016924069,0.016794875,0.034909693
4/1/2014,60,15.4927223,15.27147433,15.65596946,0.017725259,0.017187815,0.035670847
4/1/2014,60,15.37533204,15.27565821,15.45320993,0.002186238,0.006036331,0.015228816
4/1/2014,60,15.3402433,15.28746429,15.38047196,8.70E-04,0.003806802,0.012062454
4/1/2014,60,15.15886525,15.11121267,15.286565,0.002092377,0.005905332,0.015022943
4/1/2014,60,15.18699229,15.05057951,15.27168955,0.004685882,0.008837309,0.019925434
4/1/2014,60,15.06875313,15.01641412,15.11772003,0.001003661,0.004089949,0.012417455
4/1/2014,60,15.12298029,15.05331818,15.26545346,0.00343804,0.007569721,0.01771895
4/1/2014,60,15.1500446,14.96094478,15.28506105,0.013133066,0.014794743,0.031053295
4/1/2014,60,15.03741897,14.96411121,15.16345897,0.004217241,0.008383755,0.019115378
4/1/2014,60,14.71755079,14.61358575,14.95189639,0.012324189,0.014331893,0.030164853
4/1/2014,60,14.60300099,14.4965037,14.68851499,0.003225964,0.007332534,0.017314876
4/1/2014,60,14.44876563,14.33498862,14.67665213,0.009692948,0.012710198,0.027078904
4/1/2014,60,14.35832671,14.29520338,14.4741677,0.003136116,0.007229703,0.017141189
4/1/2014,60,14.50050272,14.43648885,14.56730624,0.001680835,0.005292817,0.014084987
4/1/2014,60,14.68531737,14.54399126,14.84279502,0.013860034,0.015198703,0.03182593
4/1/2014,60,14.5784252,14.48806109,14.76227269,0.006158928,0.010131575,0.022269938
4/1/2014,60,14.66327142,14.55462412,14.77374648,0.00455271,0.008710827,0.019694166
4/1/2014,60,14.55981343,14.50510259,14.61151344,0.00119321,0.004459466,0.012900202
4/1/2014,60,14.59060575,14.51622201,14.67059391,0.002305394,0.006198648,0.015472689
4/1/2014,60,14.64554981,14.59785264,14.72212881,4.98E-04,0.002881834,0.010994206
4/1/2014,60,15.09103614,14.74579855,15.19238912,0.012482747,0.014423792,0.030342208
4/1/2014,60,14.86963687,14.67569408,15.19131307,0.034789257,0.024079471,0.049154207
4/1/2014,60,14.49382429,14.2880112,14.72222871,0.021933224,0.01911946,0.039422835
4/1/2014,60,14.40798848,14.27257419,14.56505977,0.010221836,0.013052353,0.027725732
4/1/2014,60,14.35223862,14.25162535,14.50560977,0.009354145,0.012486089,0.026654466
4/1/2014,60,14.61599639,14.49752061,14.77679489,0.00828667,0.01175207,0.025276579
4/1/2014,60,15.15690041,14.77984331,15.45999213,0.072249265,0.034700928,0.070192732
4/1/2014,60,15.03881104,14.59900534,15.3217119,0.051275072,0.029233278,0.059339557
