,reflectance,wavelengths
349,0.1636,2129.962891
350,0.1625,2134.973389
351,0.1641,2139.983643
352,0.167,2144.993896
353,0.1673,2150.00415
354,0.1685,2155.014404
355,0.1695,2160.024658
356,0.1709,2165.034912
357,0.1692,2170.04541
358,0.1716,2175.055664
359,0.1704,2180.065918
360,0.1713,2185.076172
361,0.1741,2190.086426
362,0.1756,2195.09668
363,0.1726,2200.106934
364,0.1735,2205.117188
365,0.175,2210.127441
366,0.1777,2215.137695
367,0.1791,2220.148193
368,0.1754,2225.158203
369,0.1766,2230.168701
370,0.1735,2235.178955
371,0.1686,2240.189209
372,0.1661,2245.199463
373,0.1626,2250.209717
374,0.1556,2255.219971
375,0.1518,2260.230225
376,0.149,2265.240479
377,0.1477,2270.250977
378,0.1462,2275.260986
379,0.1431,2280.271484
380,0.1421,2285.281738
381,0.1405,2290.291992
382,0.1369,2295.302246
383,0.1368,2300.3125
384,0.1336,2305.322754
385,0.135,2310.333008
386,0.1314,2315.343506
387,0.1276,2320.353516
388,0.127,2325.364014
389,0.1269,2330.374268
390,0.1247,2335.384521
391,0.123,2340.394775
392,0.1223,2345.405029
393,0.1221,2350.415283
394,0.121,2355.425537
395,0.1234,2360.435791
396,0.1218,2365.446289
397,0.1184,2370.456299
398,0.1179,2375.466797
399,0.1186,2380.477051
400,0.1179,2385.487305
401,0.1163,2390.497559
402,0.1161,2395.507813
403,0.1156,2400.518066
404,0.1137,2405.52832
405,0.1093,2410.538818
406,0.1127,2415.548828
407,0.1065,2420.559082
408,0.1081,2425.56958
409,0.1049,2430.579834
410,0.1074,2435.590088
411,0.0975,2440.600342
412,0.1015,2445.610596
413,0.095,2450.62085
414,0.0918,2455.631104
415,0.0915,2460.641357
416,0.0881,
417,0.0937,
418,0.0853,
419,0.0845,
420,0.0874,
421,0.1058,
422,0.0748,
423,0.0817,
424,0.0956,
425,0.1246,
